tributary,site_no,date,water_year,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,delta_daily_q,delta_daily_q_cat,lag_daily_q,season
Ausable River,04275500,2024-05-01,2024,-1.3852794908293895,-1.5677220484310832,-1.4438387829960873,0.013121677321905167,0,-1.3984011681512947,Spring
Ausable River,04275500,2024-05-02,2024,-1.4432714378070763,-1.5340913744300704,-1.4332958354122636,-0.05799194697768684,-1,-1.3852794908293895,Spring
Ausable River,04275500,2024-05-03,2024,-1.4999990622560033,-1.5120227872810696,-1.4238217028731808,-0.05672762444892698,-1,-1.4432714378070763,Spring
Ausable River,04275500,2024-05-04,2024,-1.5575103290718326,-1.4903048119843152,-1.4162763381842924,-0.0575112668158293,-1,-1.4999990622560033,Spring
Ausable River,04275500,2024-05-05,2024,-1.565265793768595,-1.4695719660027227,-1.412689342905906,-0.00775546469676236,0,-1.5575103290718326,Spring
Ausable River,04275500,2024-05-06,2024,-1.4802550040602462,-1.4571778094934813,-1.4097495168689111,0.08501078970834874,1,-1.565265793768595,Spring
Ausable River,04275500,2024-05-07,2024,-1.5242289418805042,-1.4757117551349197,-1.4044166204600805,-0.043973937820257936,0,-1.4802550040602462,Spring
Ausable River,04275500,2024-05-08,2024,-1.6238170382890076,-1.4936871513819496,-1.4010071939010167,-0.09958809640850341,-1,-1.5242289418805042,Spring
Ausable River,04275500,2024-05-09,2024,-1.628317539515684,-1.5277639438761808,-1.4035967357330392,-0.0045005012266763345,0,-1.6238170382890076,Spring
Ausable River,04275500,2024-05-10,2024,-1.678115007878099,-1.5541991012631247,-1.4102491475632126,-0.049797468362415165,-1,-1.628317539515684,Spring
Ausable River,04275500,2024-05-11,2024,-1.7263600029226485,-1.5796442363519956,-1.4263324670063349,-0.04824499504454938,-1,-1.678115007878099,Spring
Ausable River,04275500,2024-05-12,2024,-1.7069562564710148,-1.6037656183306834,-1.4486946563045253,0.019403746451633674,0,-1.7263600029226485,Spring
Ausable River,04275500,2024-05-13,2024,-1.6062673987726097,-1.6240071130024578,-1.482153951127537,0.10068885769840508,1,-1.7069562564710148,Spring
Ausable River,04275500,2024-05-14,2024,-1.5852829072904822,-1.6420088836756526,-1.5095673226737485,0.020984491482127554,0,-1.6062673987726097,Spring
Ausable River,04275500,2024-05-15,2024,-1.5613707498850709,-1.6507308787342208,-1.5252419384164713,0.023912157405411305,0,-1.5852829072904822,Spring
Ausable River,04275500,2024-05-16,2024,-1.5350418111627215,-1.6418099803908013,-1.5352762716052706,0.026328938722349315,0,-1.5613707498850709,Spring
Ausable River,04275500,2024-05-17,2024,-1.6105887725552523,-1.628484876340378,-1.5419734330312944,-0.07554696139253081,-1,-1.5350418111627215,Spring
Ausable River,04275500,2024-05-18,2024,-1.6983667160228368,-1.618838271294257,-1.5486866705086426,-0.0877779434675845,-1,-1.6105887725552523,Spring
Ausable River,04275500,2024-05-19,2024,-1.7648707545885938,-1.6148392303085697,-1.5572879924707275,-0.06650403856575693,-1,-1.6983667160228368,Spring
Ausable River,04275500,2024-05-20,2024,-1.8231282980368375,-1.6231127300396524,-1.5694145590232598,-0.05825754344824374,-1,-1.7648707545885938,Spring
Ausable River,04275500,2024-05-21,2024,-1.8471607789923152,-1.6540928585059707,-1.584682965466451,-0.02403248095547772,0,-1.8231282980368375,Spring
Ausable River,04275500,2024-05-22,2024,-1.7871145433849513,-1.691503983034804,-1.5986301519458455,0.060046235607363885,1,-1.8471607789923152,Spring
Ausable River,04275500,2024-05-23,2024,-1.8639545736176737,-1.7237530963919299,-1.6071537191750895,-0.076840030232722345,-1,-1.7871145433849513,Spring
Ausable River,04275500,2024-05-24,2024,-1.9124882269318626,-1.7707406338854943,-1.6158859182692342,-0.04853365331418891,-1,-1.8639545736176737,Spring
Ausable River,04275500,2024-05-25,2024,-1.9593107585571083,-1.8138691273678673,-1.6256123855390803,-0.046822531625245745,-1,-1.9124882269318626,Spring
