tributary,init_date,predict_date,lead_days,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,lag_daily_q,delta_daily_q,season,water_year
Poultney River,2024-06-15,2024-06-15,0,-1.9907252677603828,-2.2441531736617497,-2.146726138772378,-2.359193922515148,0.3684686547547653,Summer,2024
Poultney River,2024-06-15,2024-06-16,1,-1.9640679524434295,-2.2073184680509734,-2.1527895017651466,-1.9907252677603828,0.026657315316953367,Summer,2024
Poultney River,2024-06-15,2024-06-17,2,-1.9688870272131005,-2.1775570783963207,-2.1561019046357277,-1.9640679524434295,-0.004819074769671028,Summer,2024
Poultney River,2024-06-15,2024-06-18,3,-1.974464181226101,-2.1556115379867125,-2.1626589701280414,-1.9688870272131005,-0.005577154013000518,Summer,2024
Poultney River,2024-06-15,2024-06-19,4,-1.9808044456021685,-2.119892799787914,-2.165772550535727,-1.974464181226101,-0.006340264376067495,Summer,2024
Poultney River,2024-06-15,2024-06-20,5,-1.9881041892430231,-2.0788800321091236,-2.1668008936647976,-1.9808044456021685,-0.007299743640854617,Summer,2024
Poultney River,2024-06-15,2024-06-21,6,-1.9959727115919508,-2.032320998000479,-2.162554797700965,-1.9881041892430231,-0.007868522348927653,Summer,2024
Poultney River,2024-06-15,2024-06-22,7,-2.004206442192406,-1.9804322535828796,-2.167866302950275,-1.9959727115919508,-0.008233730600455402,Summer,2024
Poultney River,2024-06-15,2024-06-23,8,-2.008446084176976,-1.9823581356445972,-2.1605625762391156,-2.004206442192406,-0.004239641984569609,Summer,2024
Poultney River,2024-06-16,2024-06-16,0,-2.006740088037979,-2.2648744973716917,-2.1657860245149863,-2.393617473005411,0.3868773849674323,Summer,2024
Poultney River,2024-06-16,2024-06-17,1,-1.9689971755201532,-2.2412091270876893,-2.1704749478886174,-2.006740088037979,0.03774291251782569,Summer,2024
Poultney River,2024-06-16,2024-06-18,2,-1.9746814796995744,-2.2192793221505167,-2.177035566552126,-1.9689971755201532,-0.005684304179421229,Summer,2024
