tributary,date,log_conc
Ausable River,2024-06-21,1.2600713879850747
Ausable River,2024-07-11,2.444044795918076
Ausable River,2024-07-17,1.7634279935629373
Bouquet River,2024-06-21,1.294466226161593
Bouquet River,2024-07-11,2.3891660843645326
Bouquet River,2024-07-17,2.143014800254095
Great Chazy River,2024-06-21,1.6972293427597176
Great Chazy River,2024-07-11,2.3324384599156054
Great Chazy River,2024-07-17,1.7315887651867388
Jewett Brook,2024-06-18,2.2405492482826
Jewett Brook,2024-06-24,2.5440680443502757
Jewett Brook,2024-07-11,2.845098040014257
Lamoille River,2024-06-18,1.1367205671564067
Lamoille River,2024-06-24,1.7474118078864234
Lamoille River,2024-07-11,1.8668778143374989
Laplatte River,2024-06-18,1.7185016888672742
Laplatte River,2024-06-24,2.305351369446624
Laplatte River,2024-07-11,2.510545010206612
Lewis Creek,2024-06-18,1.4265112613645752
Lewis Creek,2024-06-24,2.357934847000454
Lewis Creek,2024-07-11,2.979092900638326
Little Ausable River,2024-06-21,1.887054378050957
Little Ausable River,2024-07-11,2.24551266781415
Little Ausable River,2024-07-17,1.9185545305502736
Little Chazy River,2024-06-21,1.9380190974762104
Little Chazy River,2024-07-11,2.2624510897304293
Little Chazy River,2024-07-17,1.9647309210536295
Little Otter Creek,2024-06-18,2.294466226161593
Little Otter Creek,2024-06-24,2.5943925503754266
Little Otter Creek,2024-07-11,2.583198773968623
Mettawee River,2024-06-18,1.7193312869837267
Mettawee River,2024-06-24,1.8331471119127851
Mettawee River,2024-07-11,1.7275412570285564
Mill River,2024-06-18,1.54282542695918
Mill River,2024-06-24,1.8549130223078556
Mill River,2024-07-11,2.401400540781544
Missisquoi River,2024-06-18,1.3579348470004537
Missisquoi River,2024-06-24,1.5693739096150459
Missisquoi River,2024-07-11,2.113943352306837
Otter Creek,2024-06-18,1.4899584794248346
Otter Creek,2024-06-24,2.4313637641589874
Otter Creek,2024-07-11,2.649334858712142
Poultney River,2024-06-18,1.3364597338485296
Poultney River,2024-06-18,1.3304137733491908
Poultney River,2024-06-24,1.424881636631067
Poultney River,2024-07-11,1.5658478186735176
Salmon River,2024-06-21,1.6180480967120927
Salmon River,2024-07-11,2.0043213737826426
Salmon River,2024-07-17,1.6866362692622934
Saranac River,2024-06-21,1.550228353055094
Saranac River,2024-07-11,1.6766936096248666
Saranac River,2024-07-17,1.615950051656401
Winooski River,2024-06-18,1.167317334748176
Winooski River,2024-06-24,2.385606273598312
Winooski River,2024-07-11,2.973589623427257
