tributary,drnarea_km2,el1200,lulc_forest,lulc_barren,lulc_developed,lulc_agriculture,lulc_water_wetland,all_100m_lulc_forest,all_100m_lulc_barren,all_100m_lulc_developed,all_100m_lulc_agriculture,all_100m_lulc_water_wetland,drain_density_km_km2,cascade_pct,colluvial_pct,dune_ripple_pct,plane_bed_pct,pool_riffle_pct,step_pool_pct,pct_1_order,pct_2_order,pct_3_order,pct_4_order,pct_5_order,pct_6_order,pct_7_order,stream_relief_m,h,rb_flashiness,peak_flow_anom,pct_drained_by_tile,tot_ieof,tot_satof,tot_run7100,tot_rf7100,tot_twi,tot_rechg,tot_contact,tot_ewt,dist_to_st,mean_sin,mean_bf_width,mean_bf_depth,pct_ab_soils,pct_p_ac_soils,tot_soller_11,tot_soller_420,tot_soller_421,tot_soller_430,tot_soller_431,tot_soller_450,tot_soller_451,tot_soller_701,tot_soller_811,tot_soller_821,tot_bushreed_1,tot_bushreed_2,tot_bushreed_5,tot_bushreed_6,tot_bushreed_9,tot_olson_perm,tot_pmap_pct,tot_basin_slope,tot_stream_slope,tot_p97,tot_tp2012,tot_ndams2010,tot_norm_storage2010,tot_npdes_maj,tot_popdens10,cat_popdens10,tot_total_road_dens,max_popdens10
Winooski River,2745.3893999999996,54.7,76.8,0.2,11.8,9.9,1.5,23.3,0.1,4.3,3.6,1.1,1.7759307441414323,0.3831328109984862,0.019298668716591364,0.059772242303951874,0.13494756140798847,0.10090410781356922,0.301944608759413,0.5471603629496067,0.21952505550924142,0.11096329805886317,0.058501599423631596,0.037361558348603836,0.011116851922549654,0.015371273787503668,1018.4000000000001,0.6381407393943463,0.27741684094666313,9.962652719744474,0.18600640040352745,2.76,1.85,629.01,82.53,10.63,287.84,61.78,-47.33,1103.98,1.1700396825396826,16.74198412698413,0.7549404761904762,24.619999999999997,0.39802732537686647,0,2.46,7.72,16.1,64.52,0,3.44,0,3.28,2.49,0,7.18,92.82,0,0,0.14,0.3005074617101676,16.82,0.011344,105.16,187542.24,43,62712,9,47.1,427.03,1.66,1154.38
Lamoille River,1875.15276,46.3,75.4,0.1,8.2,13.9,2.2,23,0.1,3.1,5.8,1.4,1.8828111724668235,0.24456030982628887,0.009700009566158544,0.0837115243874235,0.1826760500220994,0.14778755412659808,0.33156455207143154,0.5296883409628985,0.21803048093297128,0.11917295807784782,0.06767568406305198,0.037133315198303575,0.020632340975423512,0.007666879789503314,1003.02,0.6566543338156785,0.30275101216966227,10.810665006490147,0.3964956967025982,2.41,2.24,677.21,85.41,10.93,295.27,81.18,-44.69,183.29,1.1504904632152588,15.759700272479565,0.7315803814713896,23.36,0.8629056973470257,1.64,0,25.68,0,61.03,0,7.28,0,1.22,2.99,0,0,99.83,0,0,0.17,0,13.72,0.007909,189.74,193144.42,27,50071,0,24.57,12.76,1.36,782.24
Mill River,59.828769,0.41,38.3,0.1,13.3,47,1.2,13.4,0,4.9,22.6,1,2.3444170419083834,0.015233746593960238,2.6438608303639826e-4,0.09474626083001081,0.37638428761901427,0.2854523479298672,0.2279189709441111,0.4983367875636749,0.2119413466749587,0.22547934801248107,0.06424251774888536,0,0,0,264.41,0.7537144899570031,0.5405180998930808,23.200230271036617,4.464741703109419,2.63,2.89,678.28,72.94,11.48,202.45,127.7,-29.49,253.21,1.476,12.996,0.688,12.16,21.899497882030634,0,0,74.09,0,0,0,0,0,16.39,8.18,0,0,98.82,0,0,0.1,13.193318418435117,6.19,0.00135,961.22,39735.91,2,1172,0,67.38,28.3,2.1,176.36
Jewett Brook,60.08776799999999,0.32,18.8,0,18.3,60.6,2.4,4,0,5.5,21,1.2,1.7551556045483336,0.058556731329849794,0,0.2030483377979741,0.30018859909930423,0.3706936784424936,0.06751265333037829,0.5572013818118875,0.13821630766187115,0.13842430345551868,0.056823998933065896,0.10933400813765685,0,0,296.68,0.5776950005118305,0.6599107238789206,40.91458052522187,25.356408645433465,3.99,4,682.5,71.53,12.97,209.09,247.24,-20.07,278.48,1.1963636363636363,13.975454545454545,0.7309090909090908,13.34,18.62525497701962,0,0,15.04,0,0,0,0,0,84.59,0.37,0,0,100,0,0,0.03,13.513232842997267,2.99,4.3e-4,1139.69,49285.92,0,0,1,138.78,28.22,2.24,210.63
Missisquoi River,2235.16137,27.4,73,0.2,6.2,18.7,1.9,22.1,0,2.4,7.8,1.2,1.8476593786156927,0.23014092583971693,0.005145258227949105,0.10708464184857894,0.21710136824401194,0.1406215389137202,0.2999062669260229,0.5385047138366233,0.22299953131481084,0.12416476758165054,0.046808267060911235,0.03994226082714523,0.017593300994285153,0.009987158384573676,860.04,0.6578140825383948,0.31973973630867464,11.432841500700077,1.2968728069955864,2.89,2.86,707.48,83.42,11.09,267.43,65.97,-41.9,206.22,1.3138766519823788,17.797488986784142,0.7604405286343613,14.719999999999999,0.7953161788940546,0,0,29.8,0,29.54,0,0.67,0.2,7.46,2.74,0,0,89.5,9.14,0,0.2,0,12.13,0.005538,441.18,471315.57,9,8261,1,11.35,0,0.81,363.77
Laplatte River,137.26946999999998,1.4,39.1,0,14.2,44.4,2.3,11.6,0,4.6,18.6,1.4,2.041311662163481,0.06466570655955348,3.1058867079944305e-4,0.08218805112493272,0.2994226506412773,0.3367659706515692,0.2166470323518677,0.5250560901061789,0.22160723152746678,0.1303556808669115,0.03704104960762514,0.08593994789181761,0,0,371.59,0.6985771115514058,0.4478438080625131,22.63584443925585,0.31602074372400507,3.91,2.17,628.56,71.93,12.06,214.94,403.82,-22.46,3831,1.264,11.575,0.633,9.62,9.335579134967157,0,0,22.18,0,0,0,0,0,77.82,0,0,0,100,0,0,0.1,6.377164565434689,8.26,0.001544,348.27,26356.15,2,1584,1,60.52,110.66,2.23,179.15
Lewis Creek,207.45819899999998,21.5,61.6,0.3,8.1,25.7,4.2,18.9,0.1,4,13.1,2.7,2.3573396288859136,0.16201060023294434,0.0050194462566397965,0.1413547674458954,0.2444626233001918,0.19588458248035012,0.25126798028397856,0.475549412242215,0.22542243918856592,0.14369599759723137,0.041980239254743396,0.06391698989314588,0.049434921824098435,0,647.58,0.7441443284517557,0.3249488616438192,19.406129495951806,0.08459535503824556,4.95,2.79,600,70.16,12.18,212.55,373.05,-21.29,249.23,1.3857142857142857,14.490714285714287,0.7235714285714285,15.61,5.762799473642399,0,0.33,12.09,0,0,0,0,0,87.34,0,0,0,99.9,0,0,0.07,3.964654103644272,8.37,4.86e-4,712.59,104741.59,4,249,0,21.89,2.14,1.46,44.26
Little Otter Creek,155.658399,0.16,36.9,0.2,9.8,51.2,1.8,14.2,0.1,4.6,28.5,1.4,3.1949649549588393,0.032770333521774025,2.3293632061358998e-4,0.13727103312954247,0.3388942398370322,0.2235172516023522,0.26731420558868546,0.49693805074828207,0.2684387640026107,0.11592180393656826,0.07390683943953444,0.044794541873004454,0,0,286.06,0.7080986845261521,0.3134695638713711,13.440341739708767,0.402997849155573,4.94,2.76,600,70.63,11.97,214.07,335,-23.54,1453,1.4809999999999999,15.123,0.749,16.36,7.697817835065874,0,0.38,13.8,0,0,0,0,0,85.83,0,0,0,100,0,0,0.07,5.226316120596872,8.91,3.94e-4,700.32,88004.87,4,249,0,23.02,25.38,1.51,37.64
Otter Creek,2276.60121,47.2,66.7,0.1,8.1,21.8,3.1,18.4,0,2.9,9.7,1.9,1.8914647446576736,0.20930109988407938,0.01235431696715944,0.12932710220513308,0.22414856932538446,0.15896091699119738,0.26590799462704623,0.5085003550595807,0.23279557052362695,0.1238641872425859,0.057036998303156734,0.03153574696107286,0.03614787784196221,0.010119264068014644,1023.01,0.6698149542282531,0.09100890150412205,3.4204717723836575,0.16666950642620454,3.01,2.64,600.26,89.45,11.39,270.88,153.13,-34.59,545.23,1.1713513513513514,15.69031185031185,0.7276091476091476,19.72,0.5553497882925222,0,9.56,29.76,18.88,8.15,0,4.43,3.65,25.57,0,21.96,0,78.04,0,0,0.08,0.3620660466924728,13.26,0.012325,303.89,540613.24,40,31154,2,27.12,12.05,1.3,1673.09
Poultney River,678.57738,15.2,66,0,8,20.8,5,16.8,0,2.9,7.7,2.9,1.665089922581858,0.14652199021906664,0.001185200821608818,0.1360730989459295,0.20369583355232798,0.20647840140506218,0.30604547505600493,0.5054170810842079,0.22640601494976503,0.12464975078488433,0.09983553502081206,0.015336447043518026,0.028355171116812704,0,595.14,0.6432287488485376,0.2594199091852444,13.977619791899635,0.12560100367624985,3.41,2.56,556.77,80.89,11.51,226.17,119.17,-36.12,2034.21,1.1919,12.2173,0.6355,18.37,2.065895565219106,0,0,76.94,0,0,0,3.94,0,19.12,0,0,0,100,0,0,0.03,1.2215703388167758,13.73,0.005326,208.86,65430.02,21,12827,4,23.1,7.39,1.38,230.44
